movementId,sku,quantity,type,notes
MOV0277,SKU0393,69,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0278,SKU0394,101,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0283,SKU0395,2,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0284,SKU0396,2,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0285,SKU0397,2,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0286,SKU0398,1,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0288,SKU0399,50,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0289,SKU0401,1,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0296,SKU0402,12,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0297,SKU0403,50,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0299,SKU0404,50,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0306,SKU0405,5,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0316,SKU0406,5,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0318,SKU0407,49,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0320,SKU0408,24,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0326,SKU0037,12,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0327,SKU0268,5,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0328,SKU0401,2,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0329,SKU0401,2,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0330,SKU0405,4,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0331,SKU0166,13,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0332,SKU0258,42,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0333,SKU0152,24,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0334,SKU0012,30,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0335,SKU0043,5,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0336,SKU0028,9,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0337,SKU0028,9,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
MOV0341,SKU0037,10,adjustment,No fromLocation/toLocation at time of audit (reconciled to PMB in bulk fix)
